author,comment,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@thepredictembil,Cepet gempanya ga muncul&quot;,cepet gempanya ga munculquot,cepat gempanya tidak munculquot,cepat gempanya munculquot,"['cepat', 'gempanya', 'munculquot']","['cepat', 'gempanya', 'munculquot']",cepat gempa munculquot,1
@wetanprogo3731,Kalau sudah ada bencana begini yang atheis pun mendadak nyebut2 nama Tuhan...,kalau sudah ada bencana begini yang atheis pun mendadak nyebut2 nama tuhan,kalau sudah ada bencana begini yang atheis pun mendadak nyebut2 nama tuhan,bencana atheis mendadak nyebut2 nama tuhan,"['bencana', 'atheis', 'mendadak', 'nyebut2', 'nama', 'tuhan']","['bencana', 'atheis', 'mendadak', 'nyebut2', 'nama', 'tuhan']",bencana atheis dadak nyebut2 nama tuhan,1
@dewi438,ya Allah biikin merinding dan ketakutan😦😦,ya allah biikin merinding dan ketakutan,iya allah biikin merinding dan ketakutan,iya allah biikin merinding ketakutan,"['iya', 'allah', 'biikin', 'merinding', 'ketakutan']","['iya', 'allah', 'biikin', 'merinding', 'ketakutan']",iya allah biikin merinding takut,1
@triswibisono4373,Ngeri banget ketimbang yg tahun kemaren,ngeri banget ketimbang yg tahun kemaren,seram banget ketimbang yang tahun kemarin,seram banget ketimbang kemarin,"['seram', 'banget', 'ketimbang', 'kemarin']","['seram', 'banget', 'ketimbang', 'kemarin']",seram banget ketimbang kemarin,1
@triswibisono4373,Ngeri ya,ngeri ya,seram iya,seram iya,"['seram', 'iya']","['seram', 'iya']",seram iya,1
@yadartxavier7739,Kalau sudah terjadi mau bagaimana lagi,kalau sudah terjadi mau bagaimana lagi,kalau sudah terjadi mau bagaimana lagi,,[],[],,2
@bike693,Kok merka bisa tahu ya...termasuk mendahulukan tuhan gak nih????🧐,kok merka bisa tahu yatermasuk mendahulukan tuhan gak nih,kok merka bisa tahu yatermasuk mendahulukan tuhan tidak ini,merka yatermasuk mendahulukan tuhan,"['merka', 'yatermasuk', 'mendahulukan', 'tuhan']","['merka', 'yatermasuk', 'mendahulukan', 'tuhan']",merka yatermasuk dahulu tuhan,1
@adityariyadin144,Itu prediksi cara menentukannya pakai ilmu sains bukan ramalan macam dukun jadi bukan mendahulukan tuhan,itu prediksi cara menentukannya pakai ilmu sains bukan ramalan macam dukun jadi bukan mendahulukan tuhan,itu prediksi cara menentukannya pakai ilmu sains bukan ramalan macam dukun jadi bukan mendahulukan tuhan,prediksi menentukannya pakai ilmu sains ramalan dukun mendahulukan tuhan,"['prediksi', 'menentukannya', 'pakai', 'ilmu', 'sains', 'ramalan', 'dukun', 'mendahulukan', 'tuhan']","['prediksi', 'menentukannya', 'pakai', 'ilmu', 'sains', 'ramalan', 'dukun', 'mendahulukan', 'tuhan']",prediksi tentu pakai ilmu sains ramal dukun dahulu tuhan,2
@bike693,@@adityariyadin144 hahahahaha jadi tidak termasuk mendahulukan tuhan 🤭.. 🤣🤣🤣apa bedanya 🤭🤣🤣🤣🤣,adityariyadin144 hahahahaha jadi tidak termasuk mendahulukan tuhan apa bedanya,adityariyadin144 hahahahaha jadi tidak termasuk mendahulukan tuhan apa bedanya,adityariyadin144 hahahahaha mendahulukan tuhan bedanya,"['adityariyadin144', 'hahahahaha', 'mendahulukan', 'tuhan', 'bedanya']","['adityariyadin144', 'hahahahaha', 'mendahulukan', 'tuhan', 'bedanya']",adityariyadin144 hahahahaha dahulu tuhan beda,2
@adityariyadin144,@@bike693 beda kan mana yg musyrik dan yg enggak kalau ramalan dukun jelas musyrik karena menggunakan jin sedangkan prediksi bmkg ini pakai survei lapangan atau ilmu sains dan matematika jadi kalau ini musyrik berarti pelajaran matematika dan sains di sekolah seharusnya haram dong jangan di ajarkan di sekolah sekolah,bike693 beda kan mana yg musyrik dan yg enggak kalau ramalan dukun jelas musyrik karena menggunakan jin sedangkan prediksi bmkg ini pakai survei lapangan atau ilmu sains dan matematika jadi kalau ini musyrik berarti pelajaran matematika dan sains di sekolah seharusnya haram dong jangan di ajarkan di sekolah sekolah,bike693 beda akan mana yang musyrik dan yang tidak kalau ramalan dukun jelas musyrik karena menggunakan jin sedangkan prediksi bmkg ini pakai survei lapangan atau ilmu sains dan matematika jadi kalau ini musyrik berarti pelajaran matematika dan sains di sekolah seharusnya haram dong jangan di ajarkan di sekolah sekolah,bike693 beda musyrik ramalan dukun musyrik jin prediksi bmkg pakai survei lapangan ilmu sains matematika musyrik pelajaran matematika sains sekolah haram ajarkan sekolah sekolah,"['bike693', 'beda', 'musyrik', 'ramalan', 'dukun', 'musyrik', 'jin', 'prediksi', 'bmkg', 'pakai', 'survei', 'lapangan', 'ilmu', 'sains', 'matematika', 'musyrik', 'pelajaran', 'matematika', 'sains', 'sekolah', 'haram', 'ajarkan', 'sekolah', 'sekolah']","['bike693', 'beda', 'musyrik', 'ramalan', 'dukun', 'musyrik', 'jin', 'prediksi', 'bmkg', 'pakai', 'survei', 'lapangan', 'ilmu', 'sains', 'matematika', 'musyrik', 'pelajaran', 'matematika', 'sains', 'sekolah', 'haram', 'ajarkan', 'sekolah', 'sekolah']",bike693 beda musyrik ramal dukun musyrik jin prediksi bmkg pakai survei lapang ilmu sains matematika musyrik ajar matematika sains sekolah haram ajar sekolah sekolah,2
@bike693,@@adityariyadin144 🤭🤣🤣🤣🤣🤣maksud yg sm tapi dibedakan krn tidak dianjurkan 🤭🤣🤣🤣🤣 kalau tidak terjadi dan ternyata yg benar benar terjadi itu yg anda katakan itu musrik g gmn dong??🤭🤭mohon pencerahannya 🙏🙏,adityariyadin144 maksud yg sm tapi dibedakan krn tidak dianjurkan kalau tidak terjadi dan ternyata yg benar benar terjadi itu yg anda katakan itu musrik g gmn dongmohon pencerahannya,adityariyadin144 maksud yang sama tapi dibedakan karena tidak dianjurkan kalau tidak terjadi dan ternyata yang benar benar terjadi itu yang anda katakan itu musrik tidak bagamana dongmohon pencerahannya,adityariyadin144 maksud dibedakan dianjurkan musrik bagamana dongmohon pencerahannya,"['adityariyadin144', 'maksud', 'dibedakan', 'dianjurkan', 'musrik', 'bagamana', 'dongmohon', 'pencerahannya']","['adityariyadin144', 'maksud', 'dibedakan', 'dianjurkan', 'musrik', 'bagamana', 'dongmohon', 'pencerahannya']",adityariyadin144 maksud beda anjur musrik bagamana dongmohon cerah,2
@bijaijah523,"SELAMATKANLAH PARA ULAMA, TOKOH DAN UMAT YG SELALU MENEGAKKAN KEBENARAN YA ALLAH..",selamatkanlah para ulama tokoh dan umat yg selalu menegakkan kebenaran ya allah,selamatkanlah para ulama tokoh dan umat yang selalu menegakkan kebenaran iya allah,selamatkanlah ulama tokoh umat menegakkan kebenaran iya allah,"['selamatkanlah', 'ulama', 'tokoh', 'umat', 'menegakkan', 'kebenaran', 'iya', 'allah']","['selamatkanlah', 'ulama', 'tokoh', 'umat', 'menegakkan', 'kebenaran', 'iya', 'allah']",selamat ulama tokoh umat tegak benar iya allah,2
@agusecjdw1334,Gila bener.. Sunami sampai 20 meter.. 😭😭😭,gila bener sunami sampai 20 meter,gila benar sunami sampai 20 meter,gila sunami 20 meter,"['gila', 'sunami', '20', 'meter']","['gila', 'sunami', '20']",gila sunam 20,2
@taijutsuhachimontonkou6835,"Ketika ada bencana dan kesusahan baru inget Allah. Dikasih kenikmatan sedikit, sudah lupa sama Allah yang memberi rezeki. Mari kita sama2 bertobat..",ketika ada bencana dan kesusahan baru inget allah dikasih kenikmatan sedikit sudah lupa sama allah yang memberi rezeki mari kita sama2 bertobat,ketika ada bencana dan kesusahan baru inget allah dikasih kenikmatan sedikit sudah lupa sama allah yang memberi rezeki mari kita sama2 bertobat,bencana kesusahan inget allah dikasih kenikmatan lupa allah rezeki mari sama2 bertobat,"['bencana', 'kesusahan', 'inget', 'allah', 'dikasih', 'kenikmatan', 'lupa', 'allah', 'rezeki', 'mari', 'sama2', 'bertobat']","['bencana', 'kesusahan', 'inget', 'allah', 'dikasih', 'kenikmatan', 'lupa', 'allah', 'rezeki', 'mari', 'sama2', 'bertobat']",bencana susah inget allah kasih nikmat lupa allah rezeki mari sama2 tobat,3
@ariatv594,Smg lndonesia aman...tdk terjadi gempa lg,smg lndonesia amantdk terjadi gempa lg,semoga lndonesia amantdk terjadi gempa lagi,semoga lndonesia amantdk gempa,"['semoga', 'lndonesia', 'amantdk', 'gempa']","['semoga', 'lndonesia', 'amantdk', 'gempa']",moga lndonesia amantdk gempa,3
@aidangavriel8997,"Jk spekulasi ini trjdi ,ini akn sgt mengerikan ..bhkn lebih mngrkn dr yg sy pikirkan kita pikirkan..buat yg tdk percya bhw musibah ,gempa sunami dll adalah cr Allah mengajak kita umat manusia utk sadar dan kmbli pd kebenaran hakikat kita sbgai manusia .",jk spekulasi ini trjdi ini akn sgt mengerikan bhkn lebih mngrkn dr yg sy pikirkan kita pikirkanbuat yg tdk percya bhw musibah gempa sunami dll adalah cr allah mengajak kita umat manusia utk sadar dan kmbli pd kebenaran hakikat kita sbgai manusia,jika spekulasi ini trjdi ini akan sangat mengerikan bhkn lebih mngrkn dari yang saya pikirkan kita pikirkanbuat yang tidak percya bahwa musibah gempa sunami dan lain-lain adalah cara allah mengajak kita umat manusia untuk sadar dan kmbli pada kebenaran hakikat kita sbgai manusia,spekulasi trjdi mengerikan bhkn mngrkn pikirkan pikirkanbuat percya musibah gempa sunami lain-lain allah mengajak umat manusia sadar kmbli kebenaran hakikat sbgai manusia,"['spekulasi', 'trjdi', 'mengerikan', 'bhkn', 'mngrkn', 'pikirkan', 'pikirkanbuat', 'percya', 'musibah', 'gempa', 'sunami', 'lain-lain', 'allah', 'mengajak', 'umat', 'manusia', 'sadar', 'kmbli', 'kebenaran', 'hakikat', 'sbgai', 'manusia']","['spekulasi', 'trjdi', 'mengerikan', 'bhkn', 'mngrkn', 'pikirkan', 'pikirkanbuat', 'percya', 'musibah', 'gempa', 'sunami', 'lain-lain', 'allah', 'mengajak', 'umat', 'manusia', 'sadar', 'kmbli', 'kebenaran', 'hakikat', 'sbgai', 'manusia']",spekulasi trjdi keri bhkn mngrkn pikir pikirkanbuat percya musibah gempa sunam lain allah ajak umat manusia sadar kmbli benar hakikat sbgai manusia,3
@rismiyatiris6425,Ya allah  semoga kita  mengingat y kepada allahh,ya allah semoga kita mengingat y kepada allahh,iya allah semoga kita mengingat ya kepada allahh,iya allah semoga ya allahh,"['iya', 'allah', 'semoga', 'ya', 'allahh']","['iya', 'allah', 'semoga', 'allahh']",iya allah moga allahh,3
@kehidupandibumi2595,Hnya Tuhan yg tau.. kita jdi mnusia hrus sgera bnyk bertobat.. soalnya bnyk skli kmaksiatan dan TDK percya dngn adanya nerakadan kuasa Tuhan dan tetap mlkukan kmaksiatan dan Mrasa bngga dngn hal itu apalgi bnyk skrng yg ngaku&quot; agamis TPI egonya tinggi Mrasa pling bnar sndiri,hnya tuhan yg tau kita jdi mnusia hrus sgera bnyk bertobat soalnya bnyk skli kmaksiatan dan tdk percya dngn adanya nerakadan kuasa tuhan dan tetap mlkukan kmaksiatan dan mrasa bngga dngn hal itu apalgi bnyk skrng yg ngakuquot agamis tpi egonya tinggi mrasa pling bnar sndiri,hanya tuhan yang tahu kita jadi mnusia harus sgera banyak bertobat soalnya banyak skli kemaksiatan dan tidak percya dengan adanya nerakadan kuasa tuhan dan tetap mlkukan kemaksiatan dan mrasa bngga dengan hal itu apalgi banyak skrng yang ngakuquot agamis tetapi egonya tinggi mrasa pling bnar sendiri,tuhan mnusia sgera bertobat skli kemaksiatan percya nerakadan kuasa tuhan mlkukan kemaksiatan mrasa bngga apalgi skrng ngakuquot agamis egonya mrasa pling bnar,"['tuhan', 'mnusia', 'sgera', 'bertobat', 'skli', 'kemaksiatan', 'percya', 'nerakadan', 'kuasa', 'tuhan', 'mlkukan', 'kemaksiatan', 'mrasa', 'bngga', 'apalgi', 'skrng', 'ngakuquot', 'agamis', 'egonya', 'mrasa', 'pling', 'bnar']","['tuhan', 'mnusia', 'sgera', 'bertobat', 'skli', 'kemaksiatan', 'percya', 'nerakadan', 'kuasa', 'tuhan', 'mlkukan', 'kemaksiatan', 'mrasa', 'bngga', 'apalgi', 'skrng', 'ngakuquot', 'agamis', 'egonya', 'mrasa', 'pling', 'bnar']",tuhan mnusia sgera tobat skli maksiat percya nerakadan kuasa tuhan mlkukan maksiat mrasa bngga apalgi skrng ngakuquot agam ego mrasa pling bnar,3
@jayamkuwarung5189,.dan akan bangkitnya megatron... .,dan akan bangkitnya megatron,dan akan bangkitnya megatron,bangkitnya megatron,"['bangkitnya', 'megatron']","['bangkitnya', 'megatron']",bangkit megatron,2
@herisupriono993,Tanda kuasa Allah... <br>Yg berbuat dzolim di rezim ini biar mikir....,tanda kuasa allah bryg berbuat dzolim di rezim ini biar mikir,tanda kuasa allah bryg berbuat zalim di rezim ini biar mikir,tanda kuasa allah bryg berbuat zalim rezim biar mikir,"['tanda', 'kuasa', 'allah', 'bryg', 'berbuat', 'zalim', 'rezim', 'biar', 'mikir']","['tanda', 'kuasa', 'allah', 'bryg', 'berbuat', 'zalim', 'rezim', 'biar', 'mikir']",tanda kuasa allah bryg buat zalim rezim biar mikir,1
@kidojann3152,Alhmdllh,alhmdllh,alhmdllh,alhmdllh,['alhmdllh'],['alhmdllh'],alhmdllh,2
@Wargabiasa98,"Auto teringat tuhan ketika gempa,",auto teringat tuhan ketika gempa,auto teringat tuhan ketika gempa,auto tuhan gempa,"['auto', 'tuhan', 'gempa']","['tuhan', 'gempa']",tuhan gempa,2
@bambankmblereng9738,serem nich....umat muslim tdk usah takut krn Allah akan  menghacurkan org2 dholim. Allah akn melindungi org2 beriman. Berlindunglah di tmpt2 ibadah jika mendesak. Ingat kejadian di Palu dan kejadian di Aceh.  Allahu&#39;akbar,serem nichumat muslim tdk usah takut krn allah akan menghacurkan org2 dholim allah akn melindungi org2 beriman berlindunglah di tmpt2 ibadah jika mendesak ingat kejadian di palu dan kejadian di aceh allahu39akbar,serem nichumat muslim tidak perlu takut karena allah akan menghacurkan orang-orang dholim allah akan melindungi orang-orang beriman berlindunglah di tmpt2 ibadah jika mendesak ingat kejadian di palu dan kejadian di aceh allahu39akbar,serem nichumat muslim takut allah menghacurkan orang-orang dholim allah melindungi orang-orang beriman berlindunglah tmpt2 ibadah mendesak kejadian palu kejadian aceh allahu39akbar,"['serem', 'nichumat', 'muslim', 'takut', 'allah', 'menghacurkan', 'orang-orang', 'dholim', 'allah', 'melindungi', 'orang-orang', 'beriman', 'berlindunglah', 'tmpt2', 'ibadah', 'mendesak', 'kejadian', 'palu', 'kejadian', 'aceh', 'allahu39akbar']","['serem', 'nichumat', 'muslim', 'takut', 'allah', 'menghacurkan', 'orang-orang', 'dholim', 'allah', 'melindungi', 'orang-orang', 'beriman', 'berlindunglah', 'tmpt2', 'ibadah', 'mendesak', 'kejadian', 'palu', 'kejadian', 'aceh', 'allahu39akbar']",rem nichumat muslim takut allah menghacurkan orang dholim allah lindung orang iman lindung tmpt2 ibadah desak jadi palu jadi aceh allahu39akbar,3
@r2m399,tahun 2018 gempa palu...sebagian org2 dijawa menyebut kota kami kota kami kota sodom..ada yg bersyukur krn tuhan sdh hancurkan kota palu dan sekitarnya dgn mngatakan kota syirik,tahun 2018 gempa palusebagian org2 dijawa menyebut kota kami kota kami kota sodomada yg bersyukur krn tuhan sdh hancurkan kota palu dan sekitarnya dgn mngatakan kota syirik,tahun 2018 gempa palusebagian orang-orang dijawa menyebut kota kami kota kami kota sodomada yang bersyukur karena tuhan sudah hancurkan kota palu dan sekitarnya dengan mngatakan kota syirik,2018 gempa palusebagian orang-orang dijawa menyebut kota kota kota sodomada bersyukur tuhan hancurkan kota palu mngatakan kota syirik,"['2018', 'gempa', 'palusebagian', 'orang-orang', 'dijawa', 'menyebut', 'kota', 'kota', 'kota', 'sodomada', 'bersyukur', 'tuhan', 'hancurkan', 'kota', 'palu', 'mngatakan', 'kota', 'syirik']","['2018', 'gempa', 'palusebagian', 'orang-orang', 'dijawa', 'menyebut', 'kota', 'kota', 'kota', 'sodomada', 'bersyukur', 'tuhan', 'hancurkan', 'kota', 'palu', 'mngatakan', 'kota', 'syirik']",2018 gempa palusebagian orang dijawa sebut kota kota kota sodomada syukur tuhan hancur kota palu mngatakan kota syirik,2
@acehberkah3006,TDK akan ada murka Allah di suatu negeri kecuali pemimpinnya zolim kpda rakyatnya.bertobatlah wahai pemimpin zolim supaya Allah turunkan Rahmatnya.,tdk akan ada murka allah di suatu negeri kecuali pemimpinnya zolim kpda rakyatnyabertobatlah wahai pemimpin zolim supaya allah turunkan rahmatnya,tidak akan ada murka allah di suatu negeri kecuali pemimpinnya zolim kpda rakyatnyabertobatlah wahai pemimpin zolim supaya allah turunkan rahmatnya,murka allah negeri kecuali pemimpinnya zolim kpda rakyatnyabertobatlah pemimpin zolim allah turunkan rahmatnya,"['murka', 'allah', 'negeri', 'kecuali', 'pemimpinnya', 'zolim', 'kpda', 'rakyatnyabertobatlah', 'pemimpin', 'zolim', 'allah', 'turunkan', 'rahmatnya']","['murka', 'allah', 'negeri', 'kecuali', 'pemimpinnya', 'zolim', 'kpda', 'rakyatnyabertobatlah', 'pemimpin', 'zolim', 'allah', 'turunkan', 'rahmatnya']",murka allah negeri kecuali pimpin zolim kpda rakyatnyabertobatlah pimpin zolim allah turun rahmat,2
@lakoneopo6880,&quot; Dipulau jawa dan jakarta &quot;<br>Maksudnya gimana sih..?<br>Apa jakarta bukan termasuk wilayah dari pulau jawa ??????,quot dipulau jawa dan jakarta quotbrmaksudnya gimana sihbrapa jakarta bukan termasuk wilayah dari pulau jawa,quot dipulau jawa dan jakarta quotbrmaksudnya bagaimana sihbrapa jakarta bukan termasuk wilayah dari pulau jawa,quot dipulau jawa jakarta quotbrmaksudnya sihbrapa jakarta wilayah pulau jawa,"['quot', 'dipulau', 'jawa', 'jakarta', 'quotbrmaksudnya', 'sihbrapa', 'jakarta', 'wilayah', 'pulau', 'jawa']","['dipulau', 'jawa', 'jakarta', 'quotbrmaksudnya', 'sihbrapa', 'jakarta', 'wilayah', 'pulau', 'jawa']",pulau jawa jakarta quotbrmaksudnya sihbrapa jakarta wilayah pulau jawa,2
@playlistfunnyvideos4884,☝️Laillaha Ilallah Muhammad Rasulullah.,laillaha ilallah muhammad rasulullah,laillaha ilallah muhammad rasulullah,laillaha ilallah muhammad rasulullah,"['laillaha', 'ilallah', 'muhammad', 'rasulullah']","['laillaha', 'ilallah', 'muhammad', 'rasulullah']",laillaha ilallah muhammad rasulullah,2
@ahmadnurkahvy1794,Takbirr,takbirr,takbirr,takbirr,['takbirr'],['takbirr'],takbirr,2
@Ohgituyahmm,baru tau jakarta pulau,baru tau jakarta pulau,baru tahu jakarta pulau,jakarta pulau,"['jakarta', 'pulau']","['jakarta', 'pulau']",jakarta pulau,2
@joecok6560,"Situbondo,NTT,malang.banten.terakhir Madura..ya Allah.😥😥😥",situbondonttmalangbantenterakhir maduraya allah,situbondonttmalangbantenterakhir maduraya allah,situbondonttmalangbantenterakhir maduraya allah,"['situbondonttmalangbantenterakhir', 'maduraya', 'allah']","['situbondonttmalangbantenterakhir', 'maduraya', 'allah']",situbondonttmalangbantenterakhir maduraya allah,2
@guysnaim972,Robohkan juga kubur para koruptor saja...rakyat jangan,robohkan juga kubur para koruptor sajarakyat jangan,robohkan juga kubur para koruptor sajarakyat jangan,robohkan kubur koruptor sajarakyat,"['robohkan', 'kubur', 'koruptor', 'sajarakyat']","['robohkan', 'kubur', 'koruptor', 'sajarakyat']",roboh kubur koruptor sajarakyat,1
@ikangsasmoko7347,Allohuakbar,allohuakbar,allohuakbar,allohuakbar,['allohuakbar'],['allohuakbar'],allohuakbar,1
@RaditTourdanTravel,Bersegeralah bertobat wahai umat manusia,bersegeralah bertobat wahai umat manusia,bersegeralah bertobat wahai umat manusia,bersegeralah bertobat umat manusia,"['bersegeralah', 'bertobat', 'umat', 'manusia']","['bersegeralah', 'bertobat', 'umat', 'manusia']",galah tobat umat manusia,3
@mamadara,ya allah,ya allah,iya allah,iya allah,"['iya', 'allah']","['iya', 'allah']",iya allah,2
@pelajarkehidupan872,"Ya udah kalau kek gitu, zona 5 km dari pantai untuk sementara dipantau sedemikian rupa , berikut Signal detectionnya.Warning sedemikian rupa ..",ya udah kalau kek gitu zona 5 km dari pantai untuk sementara dipantau sedemikian rupa berikut signal detectionnyawarning sedemikian rupa,iya sudah kalau seperti begitu zona 5 kamu dari pantai untuk sementara dipantau sedemikian rupa berikut signal detectionnyawarning sedemikian rupa,iya zona 5 pantai dipantau rupa signal detectionnyawarning rupa,"['iya', 'zona', '5', 'pantai', 'dipantau', 'rupa', 'signal', 'detectionnyawarning', 'rupa']","['iya', 'zona', '5', 'pantai', 'dipantau', 'detectionnyawarning']",iya zona 5 pantai pantau detectionnyawarning,3
