author,comment,likes,published_at,is_reply,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@patekblendong5149,Efek dri para ulama habib yg sengaja di dholimi dan dikriminalisasi....,0,2022-01-16T14:58:16Z,FALSE,efek dri para ulama habib yg sengaja di dholimi dan dikriminalisasi,efek dari para ulama habib yang sengaja di dholimi dan dikriminalisasi ....,efek ulama habib sengaja dholimi dikriminalisasi ....,"['efek', 'ulama', 'habib', 'sengaja', 'dholimi', 'dikriminalisasi', '....']","['efek', 'ulama', 'habib', 'sengaja', 'dholimi', 'dikriminalisasi', '....']",efek ulama habib sengaja dholimi kriminalisasi,1
@adek4948,Standby yg tinggal di pesisir ..jalur evakuasi tsunami dan kendaraannya semoga siap,0,2022-01-16T14:58:12Z,FALSE,standby yg tinggal di pesisir jalur evakuasi tsunami dan kendaraannya semoga siap,standby yang tinggal di pesisir .. jalur evakuasi tsunami dan kendaraannya semoga siap,standby tinggal pesisir .. jalur evakuasi tsunami kendaraannya semoga,"['standby', 'tinggal', 'pesisir', '..', 'jalur', 'evakuasi', 'tsunami', 'kendaraannya', 'semoga']","['standby', 'tinggal', 'pesisir', '..', 'jalur', 'evakuasi', 'tsunami', 'kendaraannya', 'semoga']",standby tinggal pesisir  jalur evakuasi tsunami kendara moga,2
@ambilpengkolan3034,all is well unless unwell,0,2022-01-16T14:58:03Z,FALSE,all is well unless unwell,all is well unless unwell,all is well unless unwell,"['all', 'is', 'well', 'unless', 'unwell']","['all', 'is', 'well', 'unless', 'unwell']",all is well unless unwell,2
@witanilda8759,Segera pindahkan ibukota negara keluar dari pulau jawa dalam tempo yang sesingkat singkatnya !,1,2022-01-16T14:57:58Z,FALSE,segera pindahkan ibukota negara keluar dari pulau jawa dalam tempo yang sesingkat singkatnya,segera pindahkan ibukota negara keluar dari pulau jawa dalam tempo yang sesingkat singkatnya !,pindahkan ibukota negara pulau jawa tempo sesingkat singkatnya !,"['pindahkan', 'ibukota', 'negara', 'pulau', 'jawa', 'tempo', 'sesingkat', 'singkatnya', '!']","['pindahkan', 'ibukota', 'negara', 'pulau', 'jawa', 'tempo', 'sesingkat', 'singkatnya', '!']",pindah ibukota negara pulau jawa tempo singkat singkat,2
@nzarka,Kapan tuh.. biar siap2 pegangan,0,2022-01-16T14:57:47Z,FALSE,kapan tuh biar siap2 pegangan,kapan itu .. biar siap-siap pegangan,.. biar siap-siap pegangan,"['..', 'biar', 'siap-siap', 'pegangan']","['..', 'biar', 'siap-siap', 'pegangan']",biar siap pegang,2
@nurdinismail6273,Semoga ini hanya prediksi saja dan tidak ada gempa yang mengerikan terjadi di Indonesia,0,2022-01-16T14:57:05Z,FALSE,semoga ini hanya prediksi saja dan tidak ada gempa yang mengerikan terjadi di indonesia,semoga ini hanya prediksi saja dan tidak ada gempa yang mengerikan terjadi di indonesia,semoga prediksi gempa mengerikan indonesia,"['semoga', 'prediksi', 'gempa', 'mengerikan', 'indonesia']","['semoga', 'prediksi', 'gempa', 'mengerikan', 'indonesia']",moga prediksi gempa keri indonesia,3
@myliveOrangkampung,Allahuakbar,0,2022-01-16T14:56:49Z,FALSE,allahuakbar,allahuakbar,allahuakbar,['allahuakbar'],['allahuakbar'],allahuakbar,2
@octagidle7447,Ya Allah apakah benar potensi itu? Tolong jauhkanlah kami dari  bencana🙏,1,2022-01-16T14:56:09Z,FALSE,ya allah apakah benar potensi itu tolong jauhkanlah kami dari bencana,iya allah apakah benar potensi itu ? tolong jauhkanlah kami dari bencana🙏,iya allah potensi ? tolong jauhkanlah bencana🙏,"['iya', 'allah', 'potensi', '?', 'tolong', 'jauhkanlah', 'bencana🙏']","['iya', 'allah', 'potensi', '?', 'tolong', 'jauhkanlah', 'bencana🙏']",iya allah potensi  tolong jauh bencana,3
@anakpanah9407,"Alhamdulillah gempa, jadi banyak manusia yang nyebut.. Apa harus ada gempa supaya manusia ingat Tuhannya? Sadarlah wahai manusia.. Ini hanya peringatan kecil..",0,2022-01-16T14:55:25Z,FALSE,alhamdulillah gempa jadi banyak manusia yang nyebut apa harus ada gempa supaya manusia ingat tuhannya sadarlah wahai manusia ini hanya peringatan kecil,"alhamdulillah gempa , jadi banyak manusia yang nyebut .. apa harus ada gempa supaya manusia ingat tuhannya ? sadarlah wahai manusia .. ini hanya peringatan kecil ..","alhamdulillah gempa , manusia nyebut .. gempa manusia tuhannya ? sadarlah manusia .. peringatan ..","['alhamdulillah', 'gempa', ',', 'manusia', 'nyebut', '..', 'gempa', 'manusia', 'tuhannya', '?', 'sadarlah', 'manusia', '..', 'peringatan', '..']","['alhamdulillah', 'gempa', ',', 'manusia', 'nyebut', '..', 'gempa', 'manusia', 'tuhannya', '?', 'sadarlah', 'manusia', '..', 'peringatan', '..']",alhamdulillah gempa  manusia nyebut  gempa manusia tuhan  sadar manusia  ingat,2
@amirussholihin6776,Manusia tidak menyadari kalau kiamat semakin dekat karena terlena dg gemerlap tipu daya dunia,0,2022-01-16T14:54:33Z,FALSE,manusia tidak menyadari kalau kiamat semakin dekat karena terlena dg gemerlap tipu daya dunia,manusia tidak menyadari kalau kiamat semakin dekat karena terlena dengan gemerlap tipu daya dunia,manusia menyadari kiamat terlena gemerlap tipu daya dunia,"['manusia', 'menyadari', 'kiamat', 'terlena', 'gemerlap', 'tipu', 'daya', 'dunia']","['manusia', 'menyadari', 'kiamat', 'terlena', 'gemerlap', 'tipu', 'daya', 'dunia']",manusia sadar kiamat lena gemerlap tipu daya dunia,1
@edoanggadatuharun,Jakarta sudah tidak aman LG maka nya ibu kota Indonesia di pindahkan,0,2022-01-16T14:54:15Z,FALSE,jakarta sudah tidak aman lg maka nya ibu kota indonesia di pindahkan,jakarta sudah tidak aman lagi maka nya ibu kota indonesia di pindahkan,jakarta aman nya kota indonesia pindahkan,"['jakarta', 'aman', 'nya', 'kota', 'indonesia', 'pindahkan']","['jakarta', 'aman', 'nya', 'kota', 'indonesia', 'pindahkan']",jakarta aman nya kota indonesia pindah,2
@dewasantika9325,saling berdoa demi.keselamatan bersama,0,2022-01-16T14:54:09Z,FALSE,saling berdoa demikeselamatan bersama,saling berdoa demi.keselamatan bersama,berdoa demi.keselamatan,"['berdoa', 'demi.keselamatan']","['berdoa', 'demi.keselamatan']",doa demi selamat,3
@bukanpahlawan3070,GEMPA MEGATRUSH....Yg betul enter bahlul enter tipu anne,1,2022-01-16T14:54:05Z,FALSE,gempa megatrushyg betul enter bahlul enter tipu anne,gempa megatrush .... yang betul enter bahlul enter tipu anne,gempa megatrush .... enter bahlul enter tipu anne,"['gempa', 'megatrush', '....', 'enter', 'bahlul', 'enter', 'tipu', 'anne']","['gempa', 'megatrush', '....', 'enter', 'bahlul', 'enter', 'tipu', 'anne']",gempa megatrush  enter bahlul enter tipu anne,2
@windar103,Penyebab bencana ini adalah para kadrun hidup penuh  kepura2an.,0,2022-01-16T14:53:42Z,FALSE,penyebab bencana ini adalah para kadrun hidup penuh kepura2an,penyebab bencana ini adalah para kadrun hidup penuh kepura2an .,penyebab bencana kadrun hidup penuh kepura2an .,"['penyebab', 'bencana', 'kadrun', 'hidup', 'penuh', 'kepura2an', '.']","['penyebab', 'bencana', 'kadrun', 'hidup', 'penuh', 'kepura2an', '.']",sebab bencana kadrun hidup penuh kepura2an,1
@soekarna1372,Lindungi negri kami tuhan,0,2022-01-16T14:53:19Z,FALSE,lindungi negri kami tuhan,lindungi negeri kami tuhan,lindungi negeri tuhan,"['lindungi', 'negeri', 'tuhan']","['lindungi', 'negeri', 'tuhan']",lindung negeri tuhan,3
@basrifahmi3208,itulah klo dh jadi resim semua.....jadi klo alim ulamak jangan disalimi..biar bumi tidak marah...matilah klo PDI itu mampuslah,0,2022-01-16T14:53:04Z,FALSE,itulah klo dh jadi resim semuajadi klo alim ulamak jangan disalimibiar bumi tidak marahmatilah klo pdi itu mampuslah,itulah kalau sudah jadi resim semua ..... jadi kalau alim ulamak jangan disalimi .. biar bumi tidak marah ... matilah kalau pdi itu mampuslah,resim ..... alim ulamak disalimi .. biar bumi marah ... matilah pdi mampuslah,"['resim', '.....', 'alim', 'ulamak', 'disalimi', '..', 'biar', 'bumi', 'marah', '...', 'matilah', 'pdi', 'mampuslah']","['resim', '.....', 'alim', 'ulamak', 'disalimi', '..', 'biar', 'bumi', 'marah', '...', 'matilah', 'pdi', 'mampuslah']",resim  alim ulamak salim  biar bumi marah  mati pdi mampus,1
@muchlisohnanda6243,"Bencananya gempa besar dan tsunami sudah pindah ke negara orang , semoga tidak ada lagi musibah di negeri  ini. Amin.",18,2022-01-16T14:52:54Z,FALSE,bencananya gempa besar dan tsunami sudah pindah ke negara orang semoga tidak ada lagi musibah di negeri ini amin,"bencananya gempa besar dan tsunami sudah pindah kah negara orang , semoga tidak ada lagi musibah di negeri ini . amin .","bencananya gempa tsunami pindah kah negara orang , semoga musibah negeri . amin .","['bencananya', 'gempa', 'tsunami', 'pindah', 'kah', 'negara', 'orang', ',', 'semoga', 'musibah', 'negeri', '.', 'amin', '.']","['bencananya', 'gempa', 'tsunami', 'pindah', 'kah', 'negara', 'orang', ',', 'semoga', 'musibah', 'negeri', '.', 'amin', '.']",bencana gempa tsunami pindah kah negara orang  moga musibah negeri  amin,1
@achmadriyanto5722,"buset parah beud doanya, 🤣",0,2022-01-18T17:29:08Z,TRUE,buset parah beud doanya,"buset parah banget doanya , 🤣","buset parah banget doanya , 🤣","['buset', 'parah', 'banget', 'doanya', ',', '🤣']","['buset', 'parah', 'banget', 'doanya', ',', '🤣']",buset parah banget doa,1
@dana.q2447,"Kalo saya nangkepnya yg dimaksud negara lain pernah merasakan gempa dan tsunami yg besar, semoga jangan terjadi di negara kita...<br>Kl yg saya inget gempa Bumi terbesar sepanjang 3 dekade terakhir sih di Afghanistan, Turki, Chili dan Meksiko... Di Turki pernah ada anak kecil cewek tertimbun runtuhan flat yg dia tinggal bersama keluarganya berhari-hari sekitar 4 hr kl gak salah inget, tp Alhamdulillah berhasil selamat padahal tanpa asupan apa-apa seingat saya krn sulit dicari di reruntuhan...",0,2022-01-19T01:21:16Z,TRUE,kalo saya nangkepnya yg dimaksud negara lain pernah merasakan gempa dan tsunami yg besar semoga jangan terjadi di negara kitabrkl yg saya inget gempa bumi terbesar sepanjang 3 dekade terakhir sih di afghanistan turki chili dan meksiko di turki pernah ada anak kecil cewek tertimbun runtuhan flat yg dia tinggal bersama keluarganya berharihari sekitar 4 hr kl gak salah inget tp alhamdulillah berhasil selamat padahal tanpa asupan apaapa seingat saya krn sulit dicari di reruntuhan,"kalau saya nangkepnya yang dimaksud negara lain pernah merasakan gempa dan tsunami yang besar , semoga jangan terjadi di negara kita ... < baru > kalau yang saya inget gempa bumi terbesar sepanjang 3 dekade terakhir sih di afghanistan , turki , chili dan meksiko ... di turki pernah ada anak kecil cewek tertimbun runtuhan flat yang dia tinggal bersama keluarganya berhari-hari sekitar 4 hari kalau tidak salah inget , tapi alhamdulillah berhasil selamat padahal tanpa asupan apa-apa seingat saya karena sulit dicari di reruntuhan ...","nangkepnya negara merasakan gempa tsunami , semoga negara ... < > inget gempa bumi terbesar 3 dekade sih afghanistan , turki , chili meksiko ... turki anak cewek tertimbun runtuhan flat tinggal keluarganya berhari-hari 4 salah inget , alhamdulillah berhasil selamat asupan apa-apa sulit dicari reruntuhan ...","['nangkepnya', 'negara', 'merasakan', 'gempa', 'tsunami', ',', 'semoga', 'negara', '...', '<', '>', 'inget', 'gempa', 'bumi', 'terbesar', '3', 'dekade', 'sih', 'afghanistan', ',', 'turki', ',', 'chili', 'meksiko', '...', 'turki', 'anak', 'cewek', 'tertimbun', 'runtuhan', 'flat', 'tinggal', 'keluarganya', 'berhari-hari', '4', 'salah', 'inget', ',', 'alhamdulillah', 'berhasil', 'selamat', 'asupan', 'apa-apa', 'sulit', 'dicari', 'reruntuhan', '...']","['nangkepnya', 'negara', 'merasakan', 'gempa', 'tsunami', ',', 'semoga', 'negara', '...', '<', '>', 'inget', 'gempa', 'bumi', 'terbesar', '3', 'dekade', 'sih', 'afghanistan', ',', 'turki', ',', 'chili', 'meksiko', '...', 'turki', 'anak', 'cewek', 'tertimbun', 'runtuhan', 'flat', 'tinggal', 'keluarganya', 'berhari-hari', '4', 'salah', 'inget', ',', 'alhamdulillah', 'berhasil', 'selamat', 'asupan', 'apa-apa', 'sulit', 'dicari', 'reruntuhan', '...']",nangkepnya negara rasa gempa tsunami  moga negara    inget gempa bumi besar 3 dekade sih afghanistan  turki  chili meksiko  turki anak cewek timbun runtuh flat tinggal keluarga hari 4 salah inget  alhamdulillah hasil selamat asupan apa sulit cari runtuh,2
@nickyrian8983,🤣,0,2022-01-19T12:39:45Z,TRUE,,🤣,🤣,['🤣'],['🤣'],,2
@esaanisa4406,"Sesungguhnya gempa terjadi karen banyaknya dosa dan maksiat yg merata. Akar masalahnya adalah kesyirikan Dan solusinya adalah Istighfar, belajar dari kaum nabi Yunus Alaihi Salam yaKNi kaum Nainawan di Irak yg beristighfar kepada Allah hingga Allah Tidak Jadi Menurunkan azabnya.<br>Dan yg terpenting Adalah menuntut ilmu Agama HInGGa tdK sEpeRTI Org Yg membuang sesajen dan di video. Yg pertama itu perbuatan Riya&#39;, dan yang kedua yg berhak membuang sesajen itu adalah orang yg buat sesajennya dan pemimpin daerah setempat atau presiden jg bisa.",0,2022-01-16T14:52:21Z,FALSE,sesungguhnya gempa terjadi karen banyaknya dosa dan maksiat yg merata akar masalahnya adalah kesyirikan dan solusinya adalah istighfar belajar dari kaum nabi yunus alaihi salam yakni kaum nainawan di irak yg beristighfar kepada allah hingga allah tidak jadi menurunkan azabnyabrdan yg terpenting adalah menuntut ilmu agama hingga tdk seperti org yg membuang sesajen dan di video yg pertama itu perbuatan riya39 dan yang kedua yg berhak membuang sesajen itu adalah orang yg buat sesajennya dan pemimpin daerah setempat atau presiden jg bisa,"sesungguhnya gempa terjadi karen banyaknya dosa dan maksiat yang merata . akar masalahnya adalah kesyirikan dan solusinya adalah istighfar , belajar dari kaum nabi yunus alaihi salam yakni kaum nainawan di irak yang beristighfar kepada allah hingga allah tidak jadi menurunkan azabnya. < baru > dan yang terpenting adalah menuntut ilmu agama hingga tidak seperti orang yang membuang sesajen dan di video . yang pertama itu perbuatan riya dan # 39 ; , dan yang kedua yang berhak membuang sesajen itu adalah orang yang buat sesajennya dan pemimpin daerah setempat atau presiden juga bisa .","sesungguhnya gempa karen banyaknya dosa maksiat merata . akar kesyirikan solusinya istighfar , belajar kaum nabi yunus alaihi salam kaum nainawan irak beristighfar allah allah menurunkan azabnya . < > terpenting menuntut ilmu agama orang membuang sesajen video . perbuatan riya # 39 ; , berhak membuang sesajen orang sesajennya pemimpin daerah presiden .","['sesungguhnya', 'gempa', 'karen', 'banyaknya', 'dosa', 'maksiat', 'merata', '.', 'akar', 'kesyirikan', 'solusinya', 'istighfar', ',', 'belajar', 'kaum', 'nabi', 'yunus', 'alaihi', 'salam', 'kaum', 'nainawan', 'irak', 'beristighfar', 'allah', 'allah', 'menurunkan', 'azabnya', '.', '<', '>', 'terpenting', 'menuntut', 'ilmu', 'agama', 'orang', 'membuang', 'sesajen', 'video', '.', 'perbuatan', 'riya', '#', '39', ';', ',', 'berhak', 'membuang', 'sesajen', 'orang', 'sesajennya', 'pemimpin', 'daerah', 'presiden', '.']","['sesungguhnya', 'gempa', 'karen', 'banyaknya', 'dosa', 'maksiat', 'merata', '.', 'akar', 'kesyirikan', 'solusinya', 'istighfar', ',', 'belajar', 'kaum', 'nabi', 'yunus', 'alaihi', 'salam', 'kaum', 'nainawan', 'irak', 'beristighfar', 'allah', 'allah', 'menurunkan', 'azabnya', '.', '<', '>', 'terpenting', 'menuntut', 'ilmu', 'agama', 'orang', 'membuang', 'sesajen', 'video', '.', 'perbuatan', 'riya', '#', '39', ';', ',', 'berhak', 'membuang', 'sesajen', 'orang', 'sesajennya', 'pemimpin', 'daerah', 'presiden', '.']",sungguh gempa karen banyak dosa maksiat rata  akar syirik solusi istighfar  ajar kaum nabi yunus alaihi salam kaum nainawan irak beristighfar allah allah turun azab    penting tuntut ilmu agama orang buang sesajen video  buat riya  39   hak buang sesajen orang sesajen pimpin daerah presiden,1
@ekohaja6450,saran buat para pejabat bmkg mbokyoo kerja sama dengan para sesepoh orang jaw yg punya mata batin tinggi jadi bisa lebih akurat dalam ngasih werning ngak cuman bisa naku nakuti,0,2022-01-16T14:48:43Z,FALSE,saran buat para pejabat bmkg mbokyoo kerja sama dengan para sesepoh orang jaw yg punya mata batin tinggi jadi bisa lebih akurat dalam ngasih werning ngak cuman bisa naku nakuti,saran buat para pejabat bmkg mbokyoo kerja sama dengan para sesepoh orang jaw yang punya mata batin tinggi jadi bisa lebih akurat dalam memberikan werning ngak Cuma bisa naku nakuti,saran pejabat bmkg mbokyoo kerja sesepoh orang jaw mata batin akurat werning ngak Cuma naku nakuti,"['saran', 'pejabat', 'bmkg', 'mbokyoo', 'kerja', 'sesepoh', 'orang', 'jaw', 'mata', 'batin', 'akurat', 'werning', 'ngak', 'Cuma', 'naku', 'nakuti']","['saran', 'pejabat', 'bmkg', 'mbokyoo', 'kerja', 'sesepoh', 'orang', 'jaw', 'mata', 'batin', 'akurat', 'werning', 'ngak', 'Cuma', 'naku', 'nakuti']",saran jabat bmkg mbokyoo kerja sesepoh orang jaw mata batin akurat werning ngak cuma naku nakuti,1
@rafly583,Perbanyak amal,0,2022-01-16T14:48:01Z,FALSE,perbanyak amal,perbanyak amal,perbanyak amal,"['perbanyak', 'amal']","['perbanyak', 'amal']",banyak amal,3
@NanangSuryana,"musti ada pelatihan bagi masyarakat terutama yang tinggal di gedung-gedung tinggi, daerah potensi kena dampak berat jika ada gempa besar.....",0,2022-01-16T14:47:38Z,FALSE,musti ada pelatihan bagi masyarakat terutama yang tinggal di gedunggedung tinggi daerah potensi kena dampak berat jika ada gempa besar,"mesti ada pelatihan bagi masyarakat terutama yang tinggal di gedung-gedung tinggi , daerah potensi kena dampak berat jika ada gempa besar .....","mesti pelatihan masyarakat tinggal gedung-gedung , daerah potensi kena dampak berat gempa .....","['mesti', 'pelatihan', 'masyarakat', 'tinggal', 'gedung-gedung', ',', 'daerah', 'potensi', 'kena', 'dampak', 'berat', 'gempa', '.....']","['mesti', 'pelatihan', 'masyarakat', 'tinggal', 'gedung-gedung', ',', 'daerah', 'potensi', 'kena', 'dampak', 'berat', 'gempa', '.....']",mesti latih masyarakat tinggal gedung  daerah potensi kena dampak berat gempa,3
@jayatopan782,"LEPASKAN ULAMA YG DI PENJARA , BUAT TAUBATAN NASUKA , GEMPA MUNCUL KARENA DOSA DOSA KITA , LIHAT UMAT TERDAHULU YG SUDAH DI AZAB LEWAT GEMPA .",0,2022-01-16T14:46:49Z,FALSE,lepaskan ulama yg di penjara buat taubatan nasuka gempa muncul karena dosa dosa kita lihat umat terdahulu yg sudah di azab lewat gempa,"lepaskan ulama yang di penjara , buat taubatan nasuka , gempa muncul karena dosa dosa kita , lihat umat terdahulu yang sudah di azab lewat gempa .","lepaskan ulama penjara , taubatan nasuka , gempa muncul dosa dosa , lihat umat azab gempa .","['lepaskan', 'ulama', 'penjara', ',', 'taubatan', 'nasuka', ',', 'gempa', 'muncul', 'dosa', 'dosa', ',', 'lihat', 'umat', 'azab', 'gempa', '.']","['lepaskan', 'ulama', 'penjara', ',', 'taubatan', 'nasuka', ',', 'gempa', 'muncul', 'dosa', 'dosa', ',', 'lihat', 'umat', 'azab', 'gempa', '.']",lepas ulama penjara  taubat nasuka  gempa muncul dosa dosa  lihat umat azab gempa,1
@blacklabel2500,Bertaubatlah  sebelum Allah memberi peringatan lbh besar lagi,0,2022-01-16T14:46:39Z,FALSE,bertaubatlah sebelum allah memberi peringatan lbh besar lagi,bertaubatlah sebelum allah memberi peringatan lebih besar lagi,bertaubatlah allah peringatan,"['bertaubatlah', 'allah', 'peringatan']","['bertaubatlah', 'allah', 'peringatan']",taubat allah ingat,3
@islamthetruth305,lebih meningkatkan ibadah ibu.<br>bukan waspada aja.😩,0,2022-01-16T14:46:18Z,FALSE,lebih meningkatkan ibadah ibubrbukan waspada aja,lebih meningkatkan ibadah ibu. < baru > bukan waspada aja.😩,meningkatkan ibadah . < > waspada aja.😩,"['meningkatkan', 'ibadah', '.', '<', '>', 'waspada', 'aja.😩']","['meningkatkan', 'ibadah', '.', '<', '>', 'waspada', 'aja.😩']",tingkat ibadah    waspada aja,2
@zergerman9563,Ngeri bngt yaallah gua harus kemana😭😭,0,2022-01-16T14:46:15Z,FALSE,ngeri bngt yaallah gua harus kemana,seram bngt yaallah saya harus kemana😭😭,seram bngt yaallah kemana😭😭,"['seram', 'bngt', 'yaallah', 'kemana😭😭']","['seram', 'bngt', 'yaallah', 'kemana😭😭']",seram bngt yaallah mana,2
@couksucreeam4866,"Semoga benar terjadi,....aamiin",0,2022-01-16T14:46:13Z,FALSE,semoga benar terjadiaamiin,"semoga benar terjadi , .... amin","semoga , .... amin","['semoga', ',', '....', 'amin']","['semoga', ',', '....', 'amin']",moga   amin,1
@xone4137,Beli ban dalem yg besar,0,2022-01-16T14:46:10Z,FALSE,beli ban dalem yg besar,beli ban dalem yang besar,beli ban dalem,"['beli', 'ban', 'dalem']","['beli', 'ban', 'dalem']",beli ban dalem,2
@ardithege2780,"Sebelum ada bencana enak2an berzina karaoke sambil minum2, mencuri, korupsi<br>Skrng ada gempa baru sadar &amp; baru ingat kalo mereka rapuh",0,2022-01-16T14:45:59Z,FALSE,sebelum ada bencana enak2an berzina karaoke sambil minum2 mencuri korupsibrskrng ada gempa baru sadar amp baru ingat kalo mereka rapuh,"sebelum ada bencana enak2an berzina karaoke sambil minum2 , mencuri , korupsi < baru > skrng ada gempa baru sadar dan amp ; baru ingat kalau mereka rapuh","bencana enak2an berzina karaoke minum2 , mencuri , korupsi < > skrng gempa sadar amp ; rapuh","['bencana', 'enak2an', 'berzina', 'karaoke', 'minum2', ',', 'mencuri', ',', 'korupsi', '<', '>', 'skrng', 'gempa', 'sadar', 'amp', ';', 'rapuh']","['bencana', 'enak2an', 'berzina', 'karaoke', 'minum2', ',', 'mencuri', ',', 'korupsi', '<', '>', 'skrng', 'gempa', 'sadar', 'amp', ';', 'rapuh']",bencana enak2an zina karaoke minum2  curi  korupsi   skrng gempa sadar amp  rapuh,1
@antihoak5810,Ulama di musuhi inilah akibatnya...<br>Ulama2 yg lurus mulai di penjara...,0,2022-01-16T14:45:27Z,FALSE,ulama di musuhi inilah akibatnyabrulama2 yg lurus mulai di penjara,ulama di musuhi inilah akibatnya ... < baru > ulama2 yang lurus mulai di penjara ...,ulama musuhi akibatnya ... < > ulama2 lurus penjara ...,"['ulama', 'musuhi', 'akibatnya', '...', '<', '>', 'ulama2', 'lurus', 'penjara', '...']","['ulama', 'musuhi', 'akibatnya', '...', '<', '>', 'ulama2', 'lurus', 'penjara', '...']",ulama musuh akibat    ulama2 lurus penjara,1
@togog2577,"Dari dulu udah disampaikan terus, tapi yang terjadi dimana mana, nakut2in aja. Kalau gak mampu memprediksi, lebih baik menginfokan yang menyejukkan rakyat. 😇😇😇",0,2022-01-16T14:45:26Z,FALSE,dari dulu udah disampaikan terus tapi yang terjadi dimana mana nakut2in aja kalau gak mampu memprediksi lebih baik menginfokan yang menyejukkan rakyat,"dari dahulu sudah disampaikan terus , tapi yang terjadi dimana mana , nakut2in saja . kalau tidak mampu memprediksi , lebih baik menginfokan yang menyejukkan rakyat . 😇😇😇",", dimana , nakut2in . memprediksi , menginfokan menyejukkan rakyat . 😇😇😇","[',', 'dimana', ',', 'nakut2in', '.', 'memprediksi', ',', 'menginfokan', 'menyejukkan', 'rakyat', '.', '😇😇😇']","[',', 'dimana', ',', 'nakut2in', '.', 'memprediksi', ',', 'menginfokan', 'menyejukkan', 'rakyat', '.', '😇😇😇']",mana  nakut2in  prediksi  info sejuk rakyat,2
@kirigayakazuto3007,"Antisipasi mas, biar semua waspada tidak lalai.",1,2022-01-16T14:48:42Z,TRUE,antisipasi mas biar semua waspada tidak lalai,"antisipasi mas , biar semua waspada tidak lalai .","antisipasi mas , biar waspada lalai .","['antisipasi', 'mas', ',', 'biar', 'waspada', 'lalai', '.']","['antisipasi', 'mas', ',', 'biar', 'waspada', 'lalai', '.']",antisipasi mas  biar waspada lalai,2
@muhsyamsulrizal1685,"Pulau jawa dan jakarta, dikiranya beda pulau kah?🙃",0,2022-01-16T14:45:25Z,FALSE,pulau jawa dan jakarta dikiranya beda pulau kah,"pulau jawa dan jakarta , dikiranya beda pulau kah ? 🙃","pulau jawa jakarta , dikiranya beda pulau kah ? 🙃","['pulau', 'jawa', 'jakarta', ',', 'dikiranya', 'beda', 'pulau', 'kah', '?', '🙃']","['pulau', 'jawa', 'jakarta', ',', 'dikiranya', 'beda', 'pulau', 'kah', '?', '🙃']",pulau jawa jakarta  kira beda pulau kah,2
@matamata163,Baru potensi doank jangan panik,0,2022-01-16T14:45:11Z,FALSE,baru potensi doank jangan panik,baru potensi doank jangan panik,potensi doank panik,"['potensi', 'doank', 'panik']","['potensi', 'doank', 'panik']",potensi doank panik,2
@aliminpaijo8520,Gk BMKG gk politikus banyak yg hoax,0,2022-01-16T14:44:06Z,FALSE,gk bmkg gk politikus banyak yg hoax,tidak bmkg tidak politikus banyak yang isu bohong,bmkg politikus isu bohong,"['bmkg', 'politikus', 'isu', 'bohong']","['bmkg', 'politikus', 'isu', 'bohong']",bmkg politikus isu bohong,1
@THOMASGRAPENursery,"Hitungan dr mana???<br>Mana bisa gempa diprediksi😅😅<br>Tsunami pun baru bisa diperhitungkan setelah gempa terjadi😋😋😋<br>Kalau potensi gempa sih di manapun juga pasti ada, ga perlu dikatakan, hanya akan membuat keresahan saja.",0,2022-01-16T14:43:40Z,FALSE,hitungan dr manabrmana bisa gempa diprediksibrtsunami pun baru bisa diperhitungkan setelah gempa terjadibrkalau potensi gempa sih di manapun juga pasti ada ga perlu dikatakan hanya akan membuat keresahan saja,"hitungan dari mana ? ? ? < baru > mana bisa gempa diprediksi😅😅 < baru > tsunami pun baru bisa diperhitungkan setelah gempa terjadi😋😋😋 < baru > kalau potensi gempa sih di manapun juga pasti ada , tidak perlu dikatakan , hanya akan membuat keresahan saja .","hitungan ? ? ? < > gempa diprediksi😅😅 < > tsunami diperhitungkan gempa terjadi😋😋😋 < > potensi gempa sih manapun , , keresahan .","['hitungan', '?', '?', '?', '<', '>', 'gempa', 'diprediksi😅😅', '<', '>', 'tsunami', 'diperhitungkan', 'gempa', 'terjadi😋😋😋', '<', '>', 'potensi', 'gempa', 'sih', 'manapun', ',', ',', 'keresahan', '.']","['hitungan', '?', '?', '?', '<', '>', 'gempa', 'diprediksi😅😅', '<', '>', 'tsunami', 'diperhitungkan', 'gempa', 'terjadi😋😋😋', '<', '>', 'potensi', 'gempa', 'sih', 'manapun', ',', ',', 'keresahan', '.']",hitung      gempa prediksi   tsunami hitung gempa jadi   potensi gempa sih mana   resah,1
@desisusanti4020,Uang no 1 <br>Di banding kan gempa. <br>Bagi para pemerintah.,0,2022-01-16T14:43:37Z,FALSE,uang no 1 brdi banding kan gempa brbagi para pemerintah,uang nomor 1 < baru > di banding akan gempa . < baru > bagi para pemerintah .,uang nomor 1 < > banding gempa . < > pemerintah .,"['uang', 'nomor', '1', '<', '>', 'banding', 'gempa', '.', '<', '>', 'pemerintah', '.']","['uang', 'nomor', '1', '<', '>', 'banding', 'gempa', '.', '<', '>', 'pemerintah', '.']",uang nomor 1   banding gempa    perintah,1
@aliminpaijo8520,Hoax,0,2022-01-16T14:43:28Z,FALSE,hoax,isu bohong,isu bohong,"['isu', 'bohong']","['isu', 'bohong']",isu bohong,1
